"AVON U/S VALENCIA C","225255A","VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water)","-37.8216","146.981"
"AVON@ D/S WENHAM BDG","208033","NSW - Water NSW","-32.106326073","151.946427471"
"AVONDALE HEIGHTS RG","230806A","VIC - Melbourne Water Corporation (Melbourne Water)","-37.7637","144.869"
"AXE @ LONGLEA","406214","VIC - Department of Energy, Environment and Climate Action","-36.77349188","144.4281046"
"AXE @STRATHFIELDSAYE","406262","VIC - Department of Energy, Environment and Climate Action","-36.81091716","144.3912111"
"AXE CK @ SEDGEWICK","406216","VIC - Department of Energy, Environment and Climate Action","-36.89687871","144.355601"
"Abandon Creek","501024","WA - Department of Water and Environmental Regulation","-15.165063496","126.44625334"
"Abbotsfield Res, SCADA Probes","GLR1.GLR1TK01","TAS - TasWater","-42.79","147.22"
"Abergowrie College","116006A","QLD - Department of Regional Development, Manufacturing and Water","-18.48846","145.89472"
"Abernethy Rd","616087","WA - Department of Water and Environmental Regulation","-31.94826952","115.919330051"
"Abney Hill","502062","WA - Department of Water and Environmental Regulation","-15.719364734","128.748748497"
"Abydos North","504031","WA - Department of Water and Environmental Regulation","-21.315298228","118.999111925"
